"legal_name","dba_name","city","county","zip","address","phone","website","owner_name","owner_age_estimate","owner_age_source","owner_tenure_years","years_in_business","provider_count_estimate","employee_count_estimate","is_distressed","distress_reasons","layer1_base_rate","layer1_comment","layer2_sellability","layer2_comment","layer3_behavioral_trigger","layer3_comment","layer4_market_pull","layer4_comment","final_score","final_tier","final_comment","value_add_thesis","confidence","data_completeness"
"Bros Cao Electric Llc","","Houston","Harris","77035","11526 Dunlap St","7133925795","","Bros Cao Electric Llc","","license_tenure_proxy","","","","","False","[]","45","License number 18498 indicates mid-2000s issuance; owner-tenure estimate ~20 yrs. PROXY-ONLY.","50","TDLR-active Electrical Contractor license (L#18498) confirms operating status. No website / size / services data enriched. Defaulting to median sellability pending further verification.","25","No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.","80","TX residential electrical is a top-3 active rollup vertical in 2026 (Wrench Group, Apex Service Partners, Service Champions Holdings, Sila Services all actively bolt-on; multi-trade umbrellas paying 7-11× EBITDA on $1M+, 5-7× on smaller bolt-ons). Harris county is a tier-1 TX metro. Sub-market: premium/tech sub-market Houston (+0). SBA 7(a) financeable; high ETA/search-fund appetite.","46","C_watch","Bros Cao Electric Llc in Houston, Harris. No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.. Final 46 / Tier C_watch.","","low","0.25"
"Brothers Electric Co Inc","","Conroe","Montgomery","77302","16649 Payne Road","8327734924","","","52","license_tenure_proxy","15","15","","3","False","[]","38","Owner has run the business 15 yrs (founded 2011). At 15-25 yrs tenure, owner is plausibly 48-58 — pre-exit window.","28","Excluded for residential-thesis fit: small 3 staff only likely below sba size. Site or third-party sources show this is not a residential-service-primary independent.","32","Successor verification incomplete — live team-page fetch did not produce sufficient evidence. Per skill guardrail, cannot promote on snippet evidence. Other tells: none.","77","TX residential electrical is a top-3 active rollup vertical in 2026 (Wrench Group, Apex Service Partners, Service Champions Holdings, Sila Services all actively bolt-on; multi-trade umbrellas paying 7-11× EBITDA on $1M+, 5-7× on smaller bolt-ons). Montgomery county is a secondary TX market. Sub-market: Conroe/Montgomery (no premium nudge). SBA 7(a) financeable; high ETA/search-fund appetite.","35","D_pass","Brothers Electric Co Inc: excluded. Successor verification incomplete — live team-page fetch did not produce sufficient evidence. Per skill guardrail, cannot promote on snippet evidence.. Final 35 / Tier D_pass.","","low","0.38"
"Brothers Lighting & Electrical Specialis","","Spring","Harris","77389","4333 Spring Stuebner Rd","2814447737","","Brothers Lighting & Electrical Specialis","","license_tenure_proxy","","","","","False","[]","30","License number 22786 indicates post-2007 issuance; tenure ≤17 yrs. PROXY-ONLY.","50","TDLR-active Electrical Contractor license (L#22786) confirms operating status. No website / size / services data enriched. Defaulting to median sellability pending further verification.","25","No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.","80","TX residential electrical is a top-3 active rollup vertical in 2026 (Wrench Group, Apex Service Partners, Service Champions Holdings, Sila Services all actively bolt-on; multi-trade umbrellas paying 7-11× EBITDA on $1M+, 5-7× on smaller bolt-ons). Harris county is a tier-1 TX metro. Sub-market: Spring/Harris (no premium nudge). SBA 7(a) financeable; high ETA/search-fund appetite.","41","D_pass","Brothers Lighting & Electrical Specialis: excluded. No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.. Final 41 / Tier D_pass.","","low","0.25"
"Torres Electrical Service","","Houston","Harris","77031","11910 Dover Street","7135622862","","John Torres","","license_tenure_proxy","","","","","False","[]","55","License number 17000 indicates 2004-era issuance; owner-tenure estimate ~22 yrs. PROXY-ONLY — no website/team-page enrichment performed.","28","Excluded for residential-thesis fit: no distinguishable web presence at tx company. Site or third-party sources show this is not a residential-service-primary independent.","32","Successor verification incomplete — live team-page fetch did not produce sufficient evidence. Per skill guardrail, cannot promote on snippet evidence. Other tells: none.","80","TX residential electrical is a top-3 active rollup vertical in 2026 (Wrench Group, Apex Service Partners, Service Champions Holdings, Sila Services all actively bolt-on; multi-trade umbrellas paying 7-11× EBITDA on $1M+, 5-7× on smaller bolt-ons). Harris county is a tier-1 TX metro. Sub-market: premium/tech sub-market Houston (+0). SBA 7(a) financeable; high ETA/search-fund appetite.","45","C_watch","Torres Electrical Service in Houston, Harris. Successor verification incomplete — live team-page fetch did not produce sufficient evidence. Per skill guardrail, cannot promote on snippet evidence. Other tells: none.. Final 45 / Tier C_watch.","","low","0.38"
"Advantage Electric, Inc","","Houston","Harris","77008","720 W 20Th St","7138699113","","Kevin Dwayne Carter","65","license_tenure_proxy","37","37","","","False","[]","65","Owner has run the business 37 yrs (license tenure proxy; founded 1989). At 35+ yrs tenure, owner is plausibly age 60-68 — in the early-exit window. PROXY-ONLY — no OV65 verified.","75","Established residential-service shop, 37+ yrs tenure, services include commercial, industrial, residential, new construction. SBA-friendly size band likely. adds recurring-adjacent revenue.","32","Successor verification incomplete — live team-page fetch did not produce sufficient evidence. Per skill guardrail, cannot promote on snippet evidence. Other tells: owner_tenure_37yrs_natural_exit_window.","80","TX residential electrical is a top-3 active rollup vertical in 2026 (Wrench Group, Apex Service Partners, Service Champions Holdings, Sila Services all actively bolt-on; multi-trade umbrellas paying 7-11× EBITDA on $1M+, 5-7× on smaller bolt-ons). Harris county is a tier-1 TX metro. Sub-market: premium/tech sub-market Houston (+0). SBA 7(a) financeable; high ETA/search-fund appetite.","60","B_forward","Advantage Electric, Inc in Houston, Harris. 37 yrs in business. Successor verification incomplete — live team-page fetch did not produce sufficient evidence. Per skill guardrail, cannot promote on snippet evidence. Other tells: owner_tenure_37yrs_natural_exit_wind. Final 60 / L1 65 / L2 75 / L3 32 / L4 80. Tier B — forward to buyer community.","AI front-desk + online booking integration (Housecall Pro / ServiceTitan migration) + automated review generation + recurring 'panel maintenance plan' membership model + add EV-charger install line (high-margin, 2026 growth) + add generator maintenance contracts (RMR) + technician hiring funnel. A multi-trade buyer (Wrench Group / Apex Service Partners) would pay 7-9× EBITDA for a clean residential-service base.","low","0.75"
"Boggs Electric Co , Inc","","Balch Springs","Dallas","75180","5303 Buford Jett Lane","9725575906","","Boggs Electric Co , Inc","","license_tenure_proxy","","","","","False","[]","55","License number 17064 indicates 2004-era issuance; owner-tenure estimate ~22 yrs. PROXY-ONLY — no website/team-page enrichment performed.","50","TDLR-active Electrical Contractor license (L#17064) confirms operating status. No website / size / services data enriched. Defaulting to median sellability pending further verification.","25","No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.","80","TX residential electrical is a top-3 active rollup vertical in 2026 (Wrench Group, Apex Service Partners, Service Champions Holdings, Sila Services all actively bolt-on; multi-trade umbrellas paying 7-11× EBITDA on $1M+, 5-7× on smaller bolt-ons). Dallas county is a tier-1 TX metro. Sub-market: Balch Springs/Dallas (no premium nudge). SBA 7(a) financeable; high ETA/search-fund appetite.","48","C_watch","Boggs Electric Co , Inc in Balch Springs, Dallas. No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.. Final 48 / Tier C_watch.","","low","0.25"
"Davila Electric Co, Inc","","San Antonio","Bexar","78201","2910 Hillcrest Dr","2104361551","","Davila Electric Co, Inc","","license_tenure_proxy","","","","","False","[]","55","License number 17069 indicates 2004-era issuance; owner-tenure estimate ~22 yrs. PROXY-ONLY — no website/team-page enrichment performed.","50","TDLR-active Electrical Contractor license (L#17069) confirms operating status. No website / size / services data enriched. Defaulting to median sellability pending further verification.","25","No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.","80","TX residential electrical is a top-3 active rollup vertical in 2026 (Wrench Group, Apex Service Partners, Service Champions Holdings, Sila Services all actively bolt-on; multi-trade umbrellas paying 7-11× EBITDA on $1M+, 5-7× on smaller bolt-ons). Bexar county is a tier-1 TX metro. Sub-market: San Antonio/Bexar (no premium nudge). SBA 7(a) financeable; high ETA/search-fund appetite.","48","C_watch","Davila Electric Co, Inc in San Antonio, Bexar. No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.. Final 48 / Tier C_watch.","","low","0.25"
"Pruitt Electric Co Of Arlington, Inc","","Kennedale","Tarrant","76060","660 Tower Drive","8174788869","","Pruitt Electric Co Of Arlington, Inc","","license_tenure_proxy","","","","","False","[]","55","License number 17071 indicates 2004-era issuance; owner-tenure estimate ~22 yrs. PROXY-ONLY — no website/team-page enrichment performed.","50","TDLR-active Electrical Contractor license (L#17071) confirms operating status. No website / size / services data enriched. Defaulting to median sellability pending further verification.","25","No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.","80","TX residential electrical is a top-3 active rollup vertical in 2026 (Wrench Group, Apex Service Partners, Service Champions Holdings, Sila Services all actively bolt-on; multi-trade umbrellas paying 7-11× EBITDA on $1M+, 5-7× on smaller bolt-ons). Tarrant county is a tier-1 TX metro. Sub-market: Kennedale/Tarrant (no premium nudge). SBA 7(a) financeable; high ETA/search-fund appetite.","48","C_watch","Pruitt Electric Co Of Arlington, Inc in Kennedale, Tarrant. No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.. Final 48 / Tier C_watch.","","low","0.25"
"Parker Electric","","Austin","Travis","78754","9603 Brown Lane Bldg A","5128369779","","Parker Electric","","license_tenure_proxy","","","","","False","[]","55","License number 17086 indicates 2004-era issuance; owner-tenure estimate ~22 yrs. PROXY-ONLY — no website/team-page enrichment performed.","50","TDLR-active Electrical Contractor license (L#17086) confirms operating status. No website / size / services data enriched. Defaulting to median sellability pending further verification.","25","No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.","83","TX residential electrical is a top-3 active rollup vertical in 2026 (Wrench Group, Apex Service Partners, Service Champions Holdings, Sila Services all actively bolt-on; multi-trade umbrellas paying 7-11× EBITDA on $1M+, 5-7× on smaller bolt-ons). Travis county is a tier-1 TX metro. Sub-market: premium/tech sub-market Austin (+3). SBA 7(a) financeable; high ETA/search-fund appetite.","49","C_watch","Parker Electric in Austin, Travis. No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.. Final 49 / Tier C_watch.","","low","0.25"
"Grant Electric, Inc","","Pearland","Brazoria","77584","5807 Grovesnor St","8326068315","","Grant Electric, Inc","","license_tenure_proxy","","","","","False","[]","55","License number 17096 indicates 2004-era issuance; owner-tenure estimate ~22 yrs. PROXY-ONLY — no website/team-page enrichment performed.","50","TDLR-active Electrical Contractor license (L#17096) confirms operating status. No website / size / services data enriched. Defaulting to median sellability pending further verification.","25","No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.","77","TX residential electrical is a top-3 active rollup vertical in 2026 (Wrench Group, Apex Service Partners, Service Champions Holdings, Sila Services all actively bolt-on; multi-trade umbrellas paying 7-11× EBITDA on $1M+, 5-7× on smaller bolt-ons). Brazoria county is a secondary TX market. Sub-market: Pearland/Brazoria (no premium nudge). SBA 7(a) financeable; high ETA/search-fund appetite.","48","C_watch","Grant Electric, Inc in Pearland, Brazoria. No website / Wayback / review-velocity / team-page enrichment performed. Cannot verify coasting tells. PROXY-ONLY — capping L3 at 25.. Final 48 / Tier C_watch.","","low","0.25"
