legal_name,city,county,state,vertical,naics_code,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,year_established,entity_status,is_distressed,score_run_id,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,deep_dive_pending,data_sources
Hollywood-Crawford Door Co.,San Antonio,Bexar,TX,garage_door,238290,https://hollywoodcrawford.com,Randy Oliver,70,tenure_proxy_running_since_1981,79,79,1947,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,96,Owner age ~70 squarely in retirement window; +4 for 79 yrs personal tenure,91,Clean multi-gen 79 yr operation with successor; +5 maintenance plan signals recurring revenue,80,4 positive coasting tells (4+ threshold); Has maintenance plan (already modernized),81,San Antonio = sun-belt growth metro,77,B_forward,Score 77 (B_forward) | L1=96 L2=91 L3=80 L4=81 | Confidence=high (data_completeness=0.92) | A-candidate by score+gates → capped at B pending A-tier deep-dive,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,high,0.92,True,https://hollywoodcrawford.com/about-us/ | https://communityimpact.com/sponsored/sponsored/2022/10/31/family-owned-hollywood-crawford-door-co-reflects-on-75-years-of-business/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php | https://doors.org/resources/ida-top-100-door-dealers/
Plano Overhead Garage Door,Plano,Collin,TX,garage_door,238290,https://planooverhead.com,Family (unspecified — founders still operating),70,founder_tenure_since_1977,49,49,1977,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,96,Owner age ~70 squarely in retirement window; +4 for 49 yrs personal tenure,73,Clean solo-owner 49 yr operation,91,5 positive coasting tells (4+ threshold); No maintenance plan (anti-modernization signal),81,Plano = sun-belt growth metro,77,B_forward,Score 77 (B_forward) | L1=96 L2=73 L3=91 L4=81 | Confidence=high (data_completeness=0.85) | A-candidate by score+gates → capped at B pending A-tier deep-dive,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,high,0.85,True,https://planooverhead.com | https://comptroller.texas.gov/taxes/franchise/account-status/search.php | https://doors.org/resources/ida-top-100-door-dealers/
"Action Garage Door Repair Specialists, Inc.",Plano,Collin,TX,garage_door,238290,https://www.actiongaragedoor.com,Family (multi-generational since 1984),65,founder_tenure_since_1984,42,42,1984,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,86,Owner age ~65 entering retirement window; +4 for 42 yrs personal tenure,91,Clean multi-gen 42 yr operation with successor; +5 maintenance plan signals recurring revenue,14,No clear coasting tells; Has maintenance plan (already modernized); (3 anti-coasting tells reduced score),81,Plano = sun-belt growth metro,65,B_forward,Score 65 (B_forward) | L1=86 L2=91 L3=14 L4=81 | Confidence=high (data_completeness=0.85),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,high,0.85,False,https://www.actiongaragedoor.com/about-us/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php | https://doors.org/resources/ida-top-100-door-dealers/
"Killeen Overhead Doors, Inc.",Killeen,Bell,TX,garage_door,238290,https://www.killeenoverheaddoors.com,Jim & Rochelle Luster (founders); sons Dennis & Brett Luster (2nd gen),72,founder_24yr_army_veteran_prior_to_1991,35,35,1991,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,96,Owner age ~72 squarely in retirement window; +4 for 35 yrs personal tenure,86,Clean multi-gen 35 yr operation with successor,91,4 positive coasting tells (4+ threshold); No maintenance plan (anti-modernization signal),68,Killeen = secondary / off-metro TX market,77,B_forward,Score 77 (B_forward) | L1=96 L2=86 L3=91 L4=68 | Confidence=high (data_completeness=0.90) | A-candidate by score+gates → capped at B pending A-tier deep-dive,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,high,0.9,True,https://www.killeenoverheaddoors.com/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php | https://doors.org/resources/ida-top-100-door-dealers/
LGA Garage Door Service,Spring,Harris,TX,garage_door,238290,https://www.lga-garagedoor.com,Unknown (needs TX SOS lookup),,unknown,,,,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,22,Owner age unknown — weak proxy applied (cap L1 low),45,Tenure unverified — neutral sellability base,71,3 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),84,Spring = sun-belt exurban / new-construction zone (+5 bonus),52,C_watch,Score 52 (C_watch) | L1=22 L2=45 L3=71 L4=84 | Confidence=low (data_completeness=0.55),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,low,0.55,False,https://www.lga-garagedoor.com/ | https://doors.org/resources/ida-top-100-door-dealers/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
"Alamo Door Systems of Texas, Inc.",San Antonio,Bexar,TX,garage_door,238290,https://alamodoorsystems.com,Family (unspecified — founder generation),73,founder_tenure_since_1976,50,50,1976,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,96,Owner age ~73 squarely in retirement window; +4 for 50 yrs personal tenure,73,Clean solo-owner 50 yr operation,71,3 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),81,San Antonio = sun-belt growth metro,77,B_forward,Score 77 (B_forward) | L1=96 L2=73 L3=71 L4=81 | Confidence=high (data_completeness=0.80) | A-candidate by score+gates → capped at B pending A-tier deep-dive,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,high,0.8,True,https://alamodoorsystems.com | https://doors.org/ida-scholarship/donors/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
ABC Doors of Houston,Houston,Harris,TX,garage_door,238290,https://www.abcdoors.com,Family (unspecified — founder generation),75,founder_tenure_since_1971,55,55,1971,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,96,Owner age ~75 squarely in retirement window; +4 for 55 yrs personal tenure,73,Clean solo-owner 55 yr operation,71,3 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal); (1 anti-coasting tells reduced score),81,Houston = sun-belt growth metro,77,B_forward,Score 77 (B_forward) | L1=96 L2=73 L3=71 L4=81 | Confidence=high (data_completeness=0.80) | A-candidate by score+gates → capped at B pending A-tier deep-dive,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,high,0.8,True,https://www.abcdoors.com/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Spectrum Overhead Door LLC,Houston,Harris,TX,garage_door,238290,https://spectrumoverheaddoor.com,Travis Sweitzer,55,founder_since_2006_likely_mid_30s_at_start,20,20,2006,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,47,"Owner age ~55 pre-retirement, longer runway",73,Clean solo-owner 20 yr operation,91,4 positive coasting tells (4+ threshold); No maintenance plan (anti-modernization signal),81,Houston = sun-belt growth metro,72,B_forward,Score 72 (B_forward) | L1=47 L2=73 L3=91 L4=81 | Confidence=medium (data_completeness=0.78),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,medium,0.78,False,https://spectrumoverheaddoor.com/about/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Garage Door Doctor,Houston,Harris,TX,garage_door,238290,https://garagedoordoctor.biz,Family (unspecified),68,founder_tenure_since_1987,39,39,1987,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,96,Owner age ~68 squarely in retirement window; +4 for 39 yrs personal tenure,73,Clean solo-owner 39 yr operation,91,4 positive coasting tells (4+ threshold); No maintenance plan (anti-modernization signal),81,Houston = sun-belt growth metro,77,B_forward,Score 77 (B_forward) | L1=96 L2=73 L3=91 L4=81 | Confidence=medium (data_completeness=0.78) | A-candidate by score+gates → capped at B pending A-tier deep-dive,AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,medium,0.78,True,https://garagedoordoctor.biz | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
"Henderson Garage Door Services, LLC",Baytown,Harris,TX,garage_door,238290,https://hendersongaragedoor.com,John Henderson,67,founder_30plus_yrs_industry_pre_1989,37,37,1989,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,86,Owner age ~67 entering retirement window; +4 for 37 yrs personal tenure,73,Clean solo-owner 37 yr operation,71,2 positive coasting tells (2-3 range); No maintenance plan (anti-modernization signal),68,Baytown = secondary / off-metro TX market,76,B_forward,Score 76 (B_forward) | L1=86 L2=73 L3=71 L4=68 | Confidence=high (data_completeness=0.85),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,high,0.85,False,https://hendersongaragedoor.com/ | https://cca.baytownchamber.com/NewsArticle.aspx?dbid2=TXBTWN&newsid=193463 | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
Texas Overhead Door,Burleson,Johnson,TX,garage_door,238290,https://www.txohd.com,Family (unspecified),68,founder_tenure_since_1986,40,40,1986,Active,False,f030e361-f1de-4121-b384-79cfffc0076f,96,Owner age ~68 squarely in retirement window; +4 for 40 yrs personal tenure,73,Clean solo-owner 40 yr operation,25,No clear coasting tells; No maintenance plan (anti-modernization signal); (1 anti-coasting tells reduced score),68,Burleson = secondary / off-metro TX market,65,B_forward,Score 65 (B_forward) | L1=96 L2=73 L3=25 L4=68 | Confidence=medium (data_completeness=0.78),AI-enabled scheduling + maintenance-plan rollout + multi-trade cross-sell (gates) for 1.5-2x EBITDA path,medium,0.78,False,https://www.txohd.com/about/ | https://www.txohd.com/locations/ | https://comptroller.texas.gov/taxes/franchise/account-status/search.php
