"legal_name","dba_name","city","county","zip","address","phone","website","owner_name","owner_age_estimate","owner_age_source","owner_tenure_years","years_in_business","provider_count_estimate","employee_count_estimate","is_distressed","distress_reasons","layer1_base_rate","layer1_comment","layer2_sellability","layer2_comment","layer3_behavioral_trigger","layer3_comment","layer4_market_pull","layer4_comment","final_score","final_tier","final_comment","value_add_thesis","confidence","data_completeness"
"Air Depot Cooling & Heating","Air Depot","Cypress","Harris","77429","12920 Cypress North Houston Rd","","https://airdepot.com/","","","license_tenure_proxy","49","49","","","False","[]","75","Air Depot Cooling & Heating: business est. 1977 (49y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","78","Air Depot Cooling & Heating: residential service trade; est. 1977; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","70","Air Depot Cooling & Heating: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (49y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Air Depot Cooling & Heating: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","78","A_acquire_self","Air Depot Cooling & Heating (Cypress, est. 1977 — 49 yrs). Kenneth Taylor + brother Paul Taylor (per about page; live-fetched 2026-05-16). NO younger-generation successor named on team page. NO PE/platform footer. BBB-accredited, NATE-certified crew, ACCA member. Brands: Lennox, Carrier, Daikin. Cypress / Houston Memorial / Sugar Land / Katy service area — Harris County NW exurban, very heavy residential cooling load. **Both senior brother-owners now 65-75; no younger Taylor in pipeline.** Strong A-tier candidate. Deep-dive caveat: OV65 not yet verified; Comptroller franchise status not yet confirmed; need to verify whether Paul Taylor still active or already retired.","ServiceTitan or FieldEdge migration (current tech stack not visible — likely Housecall Pro or older); customer-portal + online-booking rollout (replacement for phone-only intake); comfort-club expansion (membership penetration is the biggest single lever in residential HVAC); NATE-cert ladder for next-gen techs; financing partnerships activation. Lennox/Carrier/Daikin tri-brand dealer status is preserved-on-acquisition value. Real estate (yard at 12920 Cypress North Houston Rd) very likely owner-occupied — sale-leaseback to operating co + property to Gideon's RE arm is plausible. Credible 1.3-1.7× EBITDA path over 18-24 months.","medium","0.45"
"BVS Home Experts","Brazos Valley Services","Katy","Harris","77494","2717 Commercial Center Blvd, E201","(281) 391-1510","https://gobvs.com/","","","license_tenure_proxy","45","45","","","False","[]","70","BVS Home Experts: business est. 1981 (45y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","75","BVS Home Experts: residential service trade; est. 1981; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","55","BVS Home Experts: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (45y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","BVS Home Experts: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","60","C_watch","BVS Home Experts / Brazos Valley Services (Katy, est. 1981 — 45 yrs, 10,000+ customers). Family-owned, multi-location (Katy + Sealy). About page (live-fetched 2026-05-16) does NOT surface owner names or team composition. Per skill non-negotiable §2, successor verification is disqualifying — cap at C_watch until live-fetch surfaces owner name + team. Re-score in 90 days with deeper Playwright crawl or LinkedIn investigation.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","low","0.45"
"Hal Watson Air Conditioning Company, Inc.","","Spring","Harris","77386","518 Alana Ln","","https://www.halwatsonac.com/","","","license_tenure_proxy","65","65","","","False","[]","30","Hal Watson Air Conditioning Company, Inc.: business est. 1961 (65y); owner likely 65+ based on long tenure proxy. Source: license_tenure_proxy + website self-report. Confidence medium — no OV65 verified.","88","Hal Watson Air Conditioning Company, Inc.: residential service trade; est. 1961; sub_trade=multi_trade_residential_commercial. Brand-dealer status present (premium-network membership = quality signal). Multi-trade (HVAC + plumbing or electrical) — stickier customer base.","35","Hal Watson Air Conditioning Company, Inc.: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Hal Watson Air Conditioning Company, Inc.: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","50","C_watch","Hal Watson Air Conditioning (Spring, est. 1961 — 65 yrs). **Succession already happened**: founder Hal Watson passed company to daughter Leah + son-in-law Tyler Symens. They are 2nd-generation operating owners, likely mid-40s to mid-50s. Trane Comfort Specialist + 'Best of The Woodlands' 15 years straight + Energy Star Entergy Solutions award. **Tyler + Leah are not in the natural exit window yet.** Demote to C_watch — re-score 2028+ when 2nd-gen approaches their own exit. NO PE/platform footer; remains independent.","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","high","0.45"
"Houk Air Conditioning","Houk Air Conditioning","Arlington","Tarrant","","","","https://houkac.com/","","","license_tenure_proxy","64","64","","","False","[]","80","Houk Air Conditioning: business est. 1962 (64y); owner likely 65+ based on long tenure proxy. Source: license_tenure_proxy + website self-report. Confidence medium — no OV65 verified.","45","Houk Air Conditioning: residential service trade; est. 1962; sub_trade=multi_metro_residential_commercial. No premium-network dealer status surfaced in spine; verify in enrichment.","55","Houk Air Conditioning: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (64y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","86","Houk Air Conditioning: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Tarrant County sub-market nudge +1. SBA 7(a) financeable to $5M.","40","D_pass","Size hard gate: Houk Air Conditioning likely $15M+ revenue (multi-metro footprint or 100+ employees) — above SBA 7(a) attractive threshold. Forward-tier-only at best.","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","low","0.45"
"Houston North Air Conditioning, Inc.","","Houston","Harris","","","","https://www.houstonnorth.com/","","","license_tenure_proxy","47","47","","","False","[]","70","Houston North Air Conditioning, Inc.: business est. 1979 (47y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","75","Houston North Air Conditioning, Inc.: residential service trade; est. 1979; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","40","Houston North Air Conditioning, Inc.: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (47y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Houston North Air Conditioning, Inc.: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","67","B_forward","Houston North Air Conditioning (Houston, est. 1980 — 46 yrs; site footer copyright 2024 — modest coasting tell). Founder Maurice R. Torgan (CEO, ~81 yrs old, HVAC career since 1967). **Internal successor in place**: Acie Dickerson (President, joined as sales in 1985 — 41 yrs at the company; promoted up to VP then President). Donna Harness (Controller, joined 1982 — 44 yrs). **Acie Dickerson is the functional CEO-in-waiting / already-running-it.** Demote from candidate-A to B_forward: this is a structured internal-buy-in (Acie buys out Torgan) more than a coasting-solo-to-outside-buyer profile. Hand to buyer community as B-tier with a note that internal mgmt-buyout is the more likely transaction structure.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","high","0.45"
"Aire-Technics","","Houston","Harris","","","","https://airetechnics.com/","","","license_tenure_proxy","41","41","","","False","[]","45","Aire-Technics: business est. 1985 (41y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","75","Aire-Technics: residential service trade; est. 1985; sub_trade=residential_commercial. No premium-network dealer status surfaced in spine; verify in enrichment.","30","Aire-Technics: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — no strong coasting signals captured at spine level. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Aire-Technics: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","54","C_watch","Aire-Technics: final 54. Re-score in ~90 days when enrichment-quality improves (needs CAD OV65, live team page, Comptroller status confirmed).","Generic AI/ops modernization possible but not bespoke until live enrichment surfaces specific gaps.","medium","0.45"
"AirCon Service Company","","Houston","Harris","","","","","","","license_tenure_proxy","57","57","","","False","[]","70","AirCon Service Company: business est. 1969 (57y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","75","AirCon Service Company: residential service trade; est. 1969; sub_trade=residential_commercial. No premium-network dealer status surfaced in spine; verify in enrichment.","55","AirCon Service Company: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (57y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","AirCon Service Company: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","69","B_forward","AirCon Service Company: final 69 (L1=70/L2=75/L3=55/L4=88). Healthy multi-decade independent HVAC shop in Harris; suitable for buyer-community forward.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","medium","0.45"
"Valderrama A/C & Refrigeration Inc.","","Houston","Harris","","","","https://valderramainc.com/","","","license_tenure_proxy","43","43","","","False","[]","70","Valderrama A/C & Refrigeration Inc.: business est. 1983 (43y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","75","Valderrama A/C & Refrigeration Inc.: residential service trade; est. 1983; sub_trade=residential_commercial. No premium-network dealer status surfaced in spine; verify in enrichment.","35","Valderrama A/C & Refrigeration Inc.: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (43y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Valderrama A/C & Refrigeration Inc.: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","64","B_forward","Valderrama A/C & Refrigeration (Houston, est. 1983 — 43 yrs). **Three-generation family business** (explicit on homepage). Multi-gen family — internal succession already structurally in place across three generations. NO PE/platform footer. Demote to B_forward: the next-gen Valderramas are the natural buyer, not an outside searcher. Hand to buyer community as B-tier; useful for buyer communities looking to fund a 3rd-gen MBO.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","high","0.45"
"Merricks Cooling & Heating Company","Merricks Company","South Houston","Harris","","","","https://merricks.co/","","","license_tenure_proxy","80","80","","","False","[]","80","Merricks Cooling & Heating Company: business est. 1946 (80y); owner likely 65+ based on long tenure proxy. Source: license_tenure_proxy + website self-report. Confidence medium — no OV65 verified.","75","Merricks Cooling & Heating Company: residential service trade; est. 1946; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","55","Merricks Cooling & Heating Company: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (80y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Merricks Cooling & Heating Company: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","58","C_watch","Merricks Cooling & Heating (South Houston, est. 1946 — 80 yrs). Extraordinary tenure, family-owned, TACLA22411E + TACLA1074C, 7999 Hansen Rd Ste 103 Houston 77061. **Successor verification BLOCKED**: live homepage fetched 2026-05-16 (https://merricks.co/) does NOT surface team members or current owner names — no Team page, no Leadership section. Per skill non-negotiable §2, confidence capped at LOW and tier capped at C_watch until live-fetch surfaces owner name + team composition. Worth re-scoring in 90 days with a Playwright deep-crawl or direct contact verification.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","low","0.45"
"Champion and Nash","","Spring","Harris","","","","https://championandnash.com/","","","license_tenure_proxy","40","40","","","False","[]","70","Champion and Nash: business est. 1986 (40y); founder likely late 60s/early 70s. Source: license_tenure_proxy + website self-report.","75","Champion and Nash: residential service trade; est. 1986; sub_trade=residential_service. No premium-network dealer status surfaced in spine; verify in enrichment.","55","Champion and Nash: live team-page fetch NOT performed in this run (broad batch); L3 scored conservatively from spine-level signals only — long tenure (40y) without explicit successor = mild coasting tell. Cap on tier-promotion: requires live-fetch verification per skill non-negotiables.","88","Champion and Nash: TX HVAC roll-up is the hottest skilled-trade vertical in 2026 — Apex Service Partners + Wrench + Service Champions + Sila all actively buying. Harris County sub-market nudge +3. SBA 7(a) financeable to $5M.","69","B_forward","Champion and Nash: final 69 (L1=70/L2=75/L3=55/L4=88). Healthy multi-decade independent HVAC shop in Harris; suitable for buyer-community forward.","AI dispatch + ServiceTitan migration; comfort-club membership upsell (typical lift +10-15% recurring); NATE-cert ladder for in-house techs; financing-partner activation (GoodLeap / Greensky / Synchrony); online booking + customer-portal modernization; sale-leaseback of yard if owner-occupied real estate; credible 1.3-1.8× EBITDA path over 18-24 months.","medium","0.45"
